prefecture_code,population
1,5381733
2,1308265
3,1279594
4,2333899
5,1023119
6,1123891
7,1914039
8,2916976
9,1974255
10,1973115
11,7266534
12,6222666
13,13515271
14,9126214
15,2304264
16,1066328
17,1154008
18,786740
19,834930
20,2098804
21,2031903
22,3700305
23,7483128
24,1815865
25,1412916
26,2610353
27,8839469
28,5534800
29,1364316
30,963579
31,573441
32,694352
33,1921525
34,2843990
35,1404729
36,755733
37,976263
38,1385262
39,728276
40,5101556
41,832832
42,1377187
43,1786170
44,1166338
45,1104069
46,1648177
47,1433566
