date,prefecture,count
2021-04-12,1,33
2021-04-12,1,84
2021-04-12,1,18
2021-04-12,1,22
2021-04-12,1,1
2021-04-12,2,4
2021-04-12,2,133
2021-04-12,2,2
2021-04-12,2,54
2021-04-12,2,12
2021-04-12,3,23
2021-04-12,3,27
2021-04-12,4,2
2021-04-12,5,13
2021-04-12,5,4
2021-04-12,5,3
2021-04-12,6,20
2021-04-12,6,1
2021-04-12,6,15
2021-04-12,6,2
2021-04-12,7,25
2021-04-12,7,80
2021-04-12,7,9
2021-04-12,7,115
2021-04-12,7,1
2021-04-12,8,52
2021-04-12,8,4
2021-04-12,8,18
2021-04-12,8,3
2021-04-12,9,6
2021-04-12,9,4
2021-04-12,10,16
2021-04-12,10,46
2021-04-12,10,6
2021-04-12,10,24
2021-04-12,10,4
2021-04-12,11,47
2021-04-12,11,114
2021-04-12,11,11
2021-04-12,11,37
2021-04-12,11,7
2021-04-12,12,3
2021-04-12,12,12
2021-04-12,12,2
2021-04-12,12,1
2021-04-12,13,61
2021-04-12,13,160
2021-04-12,13,35
2021-04-12,13,131
2021-04-12,13,10
2021-04-12,14,24
2021-04-12,14,89
2021-04-12,14,19
2021-04-12,14,43
2021-04-12,14,3
2021-04-12,15,4
2021-04-12,15,41
2021-04-12,15,1
2021-04-12,15,13
2021-04-12,15,1
2021-04-12,16,18
2021-04-12,16,1
2021-04-12,16,9
2021-04-12,16,4
2021-04-12,17,6
2021-04-12,18,23
2021-04-12,18,109
2021-04-12,18,5
2021-04-12,18,25
2021-04-12,18,5
2021-04-12,20,2
2021-04-12,20,2
2021-04-12,20,1
2021-04-12,20,3
2021-04-12,20,2
2021-04-12,21,22
2021-04-12,21,7
2021-04-12,22,210
2021-04-12,22,17
2021-04-12,22,72
2021-04-12,22,10
2021-04-12,23,77
2021-04-12,23,1
2021-04-12,23,18
2021-04-12,23,2
2021-04-12,23,2
2021-04-12,24,64
2021-04-12,24,4
2021-04-12,24,50
2021-04-12,24,9
2021-04-12,25,34
2021-04-12,25,1
